"","CodeClass","Name","Accession"
"NCF2","Endogenous","NCF2","NM_000433.3"
"TNFSF13B","Endogenous","TNFSF13B","NM_001145645.2"
"C1QBP","Endogenous","C1QBP","NM_001212.3"
"MX1","Endogenous","MX1","NM_001144925.2"
"CSF2RA","Endogenous","CSF2RA","NM_006140.3"
"MIF","Endogenous","MIF","NM_002415.1"
"CGAS","Endogenous","CGAS","NM_138441.2"
"VCAM1","Endogenous","VCAM1","NM_001078.3"
"CD45RB","Endogenous","CD45RB","ENST00000367367.1"
"THBS1","Endogenous","THBS1","NM_003246.2"
"FCRL4","Endogenous","FCRL4","NM_031282.2"
"TIMP2","Endogenous","TIMP2","NM_003255.4"
"NT5E","Endogenous","NT5E","NM_002526.2"
"HLA-DRB","Endogenous","HLA-DRB","NM_022555.3"
"IL21","Endogenous","IL21","NM_021803.2"
"NCR3","Endogenous","NCR3","NM_147130.2"
"PYCARD","Endogenous","PYCARD","NM_013258.3"
"SLC2A3","Endogenous","SLC2A3","NM_006931.2"
"IL11RA","Endogenous","IL11RA","NM_147162.1"
"GATA3","Endogenous","GATA3","NM_001002295.1"
"BST2","Endogenous","BST2","NM_004335.3"
"IKBKE","Endogenous","IKBKE","NM_001193321.1"
"CBL","Endogenous","CBL","NM_005188.3"
"TCL1A","Endogenous","TCL1A","NM_001098725.1"
"NOTCH1","Endogenous","NOTCH1","NM_017617.3"
"PSTPIP1","Endogenous","PSTPIP1","NM_001321135.1"
"IRF1","Endogenous","IRF1","NM_002198.1"
"PIK3R3","Endogenous","PIK3R3","NM_001114172.1"
"NFATC4","Endogenous","NFATC4","NM_001136022.2"
"GPX7","Endogenous","GPX7","NM_015696.5"
"MARCKS","Endogenous","MARCKS","NM_002356.5"
"HSD11B1","Endogenous","HSD11B1","NM_181755.1"
"TRAM1","Endogenous","TRAM1","NM_014294.5"
"CXCL5","Endogenous","CXCL5","NM_002994.3"
"CCL25","Endogenous","CCL25","NM_005624.2"
"TLR8","Endogenous","TLR8","NM_016610.2"
"IL1RAPL2","Endogenous","IL1RAPL2","NM_017416.1"
"HMOX1","Endogenous","HMOX1","NM_002133.2"
"CD8B","Endogenous","CD8B","NM_172099.2"
"HPGD","Endogenous","HPGD","NM_000860.5"
"CBFB","Endogenous","CBFB","NM_001755.2"
"AP1M1","Endogenous","AP1M1","NM_001130524.1"
"IFI44","Endogenous","IFI44","NM_006417.4"
"IL33","Endogenous","IL33","NM_001199640.1"
"GBA","Endogenous","GBA","NM_001005742.2"
"CARD17","Endogenous","CARD17","NM_001007232.1"
"PNOC","Endogenous","PNOC","NM_001284244.1"
"IL11","Endogenous","IL11","NM_000641.3"
"STAT6","Endogenous","STAT6","NM_003153.3"
"PRF1","Endogenous","PRF1","NM_001083116.1"
"PARP1","Endogenous","PARP1","NM_001618.3"
"CARD11","Endogenous","CARD11","NM_032415.2"
"DDOST","Endogenous","DDOST","NM_005216.4"
"FCGRT","Endogenous","FCGRT","XM_011526628.1"
"CD3D","Endogenous","CD3D","NM_000732.4"
"MTOR","Endogenous","MTOR","NM_004958.3"
"MAPK1","Endogenous","MAPK1","NM_138957.2"
"PLAUR","Endogenous","PLAUR","NM_001005376.2"
"HLA-DQA","Endogenous","HLA-DQA","NM_002122.3"
"SIGIRR","Endogenous","SIGIRR","NM_001135053.1"
"IL23R","Endogenous","IL23R","NM_144701.2"
"MAP3K1","Endogenous","MAP3K1","NM_005921.1"
"MAP2K3","Endogenous","MAP2K3","NM_145109.1"
"CSF2RB","Endogenous","CSF2RB","NM_000395.2"
"IL20RB","Endogenous","IL20RB","NM_144717.3"
"CD84","Endogenous","CD84","NM_001184879.1"
"HLX","Endogenous","HLX","NM_021958.2"
"IFI35","Endogenous","IFI35","NM_005533.3"
"VRK3","Endogenous","VRK3","NM_016440.3"
"GLB1","Endogenous","GLB1","NM_000404.2"
"APEX1","Endogenous","APEX1","NM_001641.2"
"PLIN4","Endogenous","PLIN4","NM_001080400.1"
"ATP6V1B2","Endogenous","ATP6V1B2","NM_001693.3"
"PTPN6","Endogenous","PTPN6","NM_002831.5"
"IRF7","Endogenous","IRF7","NM_001572.3"
"OASL","Endogenous","OASL","NM_198213.2"
"HLA-DOB","Endogenous","HLA-DOB","NM_002120.3"
"LGALS3","Endogenous","LGALS3","NM_001177388.1"
"IFNA8","Endogenous","IFNA8","NM_002170.3"
"CD40LG","Endogenous","CD40LG","NM_000074.2"
"CCNC","Endogenous","CCNC","NM_005190.3"
"IL2RB","Endogenous","IL2RB","NM_000878.3"
"GSK3B","Endogenous","GSK3B","NM_002093.2"
"CSF1R","Endogenous","CSF1R","NM_005211.3"
"CREBBP","Endogenous","CREBBP","NM_004380.2"
"OAS2","Endogenous","OAS2","NM_016817.2"
"PIK3CB","Endogenous","PIK3CB","NM_006219.1"
"TRIM56","Endogenous","TRIM56","NM_030961.3"
"HLA-DMB","Endogenous","HLA-DMB","NM_002118.4"
"TAP2","Endogenous","TAP2","NM_000544.3"
"TLR2","Endogenous","TLR2","NM_003264.3"
"OAS3","Endogenous","OAS3","NM_006187.3"
"LTC4S","Endogenous","LTC4S","NM_145867.1"
"CXCL9","Endogenous","CXCL9","NM_002416.1"
"SPI1","Endogenous","SPI1","NM_003120.1"
"TAP1","Endogenous","TAP1","NM_000593.5"
"FOXP3","Endogenous","FOXP3","NM_014009.3"
"CASP5","Endogenous","CASP5","NM_004347.1"
"WIPI1","Endogenous","WIPI1","NM_017983.5"
"PRKCA","Endogenous","PRKCA","NM_002737.2"
"CARD16","Endogenous","CARD16","NM_001017534.1"
"ITK","Endogenous","ITK","NM_005546.3"
"EIF3F","Endogenous","EIF3F","NM_003754.2"
"TGFBR2","Endogenous","TGFBR2","NM_001024847.1"
"PTK2B","Endogenous","PTK2B","NM_004103.3"
"STAT5A","Endogenous","STAT5A","NM_003152.3"
"TIFA","Endogenous","TIFA","NM_052864.2"
"SORT1","Endogenous","SORT1","NM_002959.5"
"IFI27","Endogenous","IFI27","NM_005532.3"
"BATF","Endogenous","BATF","NM_006399.3"
"SIRPA","Endogenous","SIRPA","NM_001040022.1"
"CDH1","Endogenous","CDH1","NM_004360.2"
"LILRB2","Endogenous","LILRB2","NM_001278405.1"
"CXCR4","Endogenous","CXCR4","NM_001008540.1"
"MSRA","Endogenous","MSRA","NM_001135670.2"
"IL27","Endogenous","IL27","NM_145659.3"
"ADAR","Endogenous","ADAR","NM_001025107.1"
"PIK3CA","Endogenous","PIK3CA","NM_006218.2"
"NLRP3","Endogenous","NLRP3","NM_001079821.2"
"IFNA14/16","Endogenous","IFNA14/16","NM_002173.2"
"VWF","Endogenous","VWF","NM_000552.3"
"LILRA6","Endogenous","LILRA6","NM_024318.3"
"PPIA","Endogenous","PPIA","NM_021130.3"
"IFNA1/13","Endogenous","IFNA1/13","NM_006900.3"
"S100A12","Endogenous","S100A12","NM_005621.1"
"KLRB1","Endogenous","KLRB1","NM_002258.2"
"CCR7","Endogenous","CCR7","NM_001838.3"
"IKBKB","Endogenous","IKBKB","NM_001556.1"
"CCL4/L1/L2","Endogenous","CCL4/L1/L2","NM_002984.2"
"JUN","Endogenous","JUN","NM_002228.3"
"CX3CL1","Endogenous","CX3CL1","NM_002996.4"
"YWHAQ","Endogenous","YWHAQ","NM_006826.3"
"ACSL4","Endogenous","ACSL4","NM_004458.2"
"CRK","Endogenous","CRK","NM_016823.4"
"ATG12","Endogenous","ATG12","NM_004707.3"
"HAMP","Endogenous","HAMP","NM_021175.2"
"ACKR2","Endogenous","ACKR2","NM_001296.5"
"CR1","Endogenous","CR1","NM_000573.3"
"CXCL16","Endogenous","CXCL16","NM_001100812.1"
"GAB2","Endogenous","GAB2","NM_080491.2"
"TRIM22","Endogenous","TRIM22","NM_006074.4"
"CXCL13","Endogenous","CXCL13","NM_006419.2"
"XCR1","Endogenous","XCR1","NM_005283.2"
"AIM2","Endogenous","AIM2","NM_004833.1"
"IL7R","Endogenous","IL7R","NM_002185.3"
"GBP2","Endogenous","GBP2","NM_004120.3"
"PIK3C3","Endogenous","PIK3C3","NM_002647.2"
"TLR3","Endogenous","TLR3","NM_003265.2"
"IL31RA","Endogenous","IL31RA","NM_139017.3"
"HERC5","Endogenous","HERC5","NM_016323.2"
"STT3B","Endogenous","STT3B","XM_011533465.1"
"CSF3","Endogenous","CSF3","NM_000759.3"
"ICOS","Endogenous","ICOS","NM_012092.3"
"RAB31","Endogenous","RAB31","NM_006868.3"
"CCL24","Endogenous","CCL24","NM_002991.2"
"MS4A2","Endogenous","MS4A2","NM_000139.3"
"ANPEP","Endogenous","ANPEP","NM_001150.2"
"VEGFA","Endogenous","VEGFA","NM_001025366.1"
"HLA-A","Endogenous","HLA-A","NM_002116.5"
"FBXO6","Endogenous","FBXO6","NM_018438.5"
"MAP2K4","Endogenous","MAP2K4","NM_003010.2"
"RELB","Endogenous","RELB","NM_006509.3"
"FGR","Endogenous","FGR","NM_001042747.1"
"PELI2","Endogenous","PELI2","NM_021255.2"
"IL17C","Endogenous","IL17C","NM_013278.4"
"CD163","Endogenous","CD163","NM_004244.5"
"CCL3/L1/L3","Endogenous","CCL3/L1/L3","NM_002983.3"
"SP100","Endogenous","SP100","NM_001206704.1"
