"gene","0-90d CCD/HD log2 fold-change","0-90d CCD/HD p-value","0-90d CCD/HD FDR","90-120d CCD/HD log2 fold-change","90-120d CCD/HD p-value","90-120d CCD/HD FDR","120-150d CCD/HD log2 fold-change","120-150d CCD/HD p-value","120-150d CCD/HD FDR","150-360d CCD/HD log2 fold-change","150-360d CCD/HD p-value","150-360d CCD/HD FDR"
"IL17RB",-0.198288465539242,0.0100654500950428,0.0429499712189245,-0.162490151142208,0.0477150568870029,0.140406232457568,-0.191610786999623,0.0179418238987725,0.0477792610608805,-0.158492591784747,0.0478580003881889,0.188746093367704
"IL4",-0.341826298004473,0.000891052801071924,0.00871878247124806,-0.22799912303239,0.0419374710761627,0.131245607861837,-0.202001245209099,0.0699003960867475,0.141818913845291,-0.241520013321667,0.0240517520644712,0.114731938132084
"CTLA4",0.70924203989721,6.06576836981758e-11,1.562946316623e-08,0.500049848785158,5.45221526523857e-07,4.21456240002941e-05,0.551224314819573,4.55011095589204e-07,1.27693966741306e-05,0.189549210029019,0.0651874205525408,0.221008228452255
"BCL2L1",0.0920062290696274,0.443739347072282,0.596540026585868,0.269005233807971,0.0338124806036639,0.114170409532861,0.145876019507804,0.161715812836694,0.266994948050679,0.052555334021564,0.603435571790232,0.785278951168097
"APBB1IP",-0.0100201157933387,0.897367751828871,0.949967494926674,0.00577098932339521,0.944683423440339,0.95676081922675,0.234795368057438,0.0019464790089875,0.00808939932229752,0.150805680433188,0.0378399521732478,0.158109637999571
"CD80",0.130666264039564,0.13956457538184,0.268366708383489,0.206302413505715,0.0334528478430493,0.113916525914877,0.230042811928906,0.0133609402186937,0.0376934554344898,-0.035064534843835,0.642312551154249,0.813375497322866
"AKT3",-0.0423896947475587,0.505582405377273,0.653958186022932,-0.0650040575873936,0.31277468182186,0.472216462984956,-0.126755655666914,0.0690602958012948,0.140853848692351,0.032279871088065,0.617667819715414,0.797410504998933
"PTGER2",-0.450129061486253,3.2400271319151e-12,1.25227048648518e-09,-0.283753047121611,2.53963326824617e-06,0.000130875767756952,-0.336918710973641,3.37372553617214e-07,1.08662076644211e-05,-0.20432242143723,0.000885055240270293,0.0162892309697366
"CDK4",0.00159586359451057,0.977955430416246,0.985580708849527,-0.0187739028544015,0.693550476479997,0.788102596736659,-0.0184446509649467,0.756605079358391,0.824902293856187,0.136683796226413,0.00762976824880745,0.0634173210357867
"FOS",-0.0340658536973073,0.857862856041498,0.929064595682258,0.288965652705167,0.121989059939637,0.252808427167129,0.54388560830288,0.00468905852093221,0.0161095210519138,0.437511340212441,0.0172427332304286,0.0936394264002565
"PXN",0.0285044320011821,0.700089919071268,0.819554695540509,0.0751027294988185,0.269179169404203,0.425850399312698,0.257080180366542,0.000704950357782989,0.00365722568165269,0.061117104065966,0.31566048777835,0.555821314470761
