"","log2.fold.change.P1...CCD","p.value","BH.FDR"
"TRBV30_TCRVB_047.1",-0.850882696333404,0.0404236871245999,0.0627472158351998
"TRAV24_TCRVA_032.1",-0.505380674940467,0.103066680484819,0.127895657723377
"TRBV4.2_TCRVB_004.1",-0.872970475712935,0.0158923618284427,0.0337307271460824
"TRBV27_TCRVB_044.1",-1.08340605670225,0.000430382901921828,0.00298398811999134
"TRBV6.6_ENST00000390371.1",-0.86982364567624,0.00494125616629841,0.0170395170384077
"TRBV9_TCRVB_025.1",-0.784327120085288,0.0168008826294127,0.0342606234011552
"TRBV6.9_TCRVB_017.1",-0.53166351580749,0.0624888486925357,0.0844005229093989
"TRBV18_TCRVB_039.1",-0.584253663884608,0.0508833686648095,0.0715117613667594
"TRBV7.4_TCRVB_020.1",-0.00459791343101665,0.989361216828318,0.989361216828318
"TRAV38.2_TCRVA_043.1",-1.16668883471724,0.000247286551296481,0.00224457554653002
"TRBV3.1_TCRVB_002.1",-0.957358722471323,0.00524292831951006,0.0170395170384077
"TRAV21_TCRVA_029.1",-1.36960968899521,4.31665734925536e-05,0.00112233091080639
"TRAV16_TCRVA_024.1",-0.817973604594908,0.0100998952205173,0.0256192464130194
"TRGC2_ENST00000436911.1",-1.04924965104376,0.00187502414006691,0.00928583383652183
"TRAV6_TCRVA_007.1",-0.706154603912241,0.0327309018742438,0.0540319649987517
"TRAV8.3_TCRVA_011.1",-0.396431005685046,0.165690767768436,0.199460604964588
"TRBV10.2_TCRVB_027.1",-0.580930223625692,0.0993909871039424,0.126056861692805
"TRBV6.1_TCRVB_011.1",-1.13433756213949,0.000363795723493687,0.00274698780056998
